Link|Alt_Text
Súbor:SVK-Air Force-OF-05.svg|60px
poručík
nadporučík
Kapitán (vojenská a policajná hodnosť)|kapitán
major
podplukovník
plukovník
Plukovník generálneho štábu|plukovník
Plukovník generálneho štábu|generálneho štábu
Súbor:SVK-Air Force-OF-06.svg|60px
Súbor:SVK-Air Force-OF-07.svg|60px
Súbor:SVK-Air Force-OF-08.svg|60px
Súbor:SVK-Air Force-OF-09.svg|60px
brigádny generál
generálmajor
generálporučík
generál
Letecké nešťastie slovenského An-24
Slovenské vzdušné zbrane
Letecký útvar Ministerstva vnútra Slovenskej republiky
Česko-slovenské vojenské letectvo
Kombinovaná letka (Slovenské povstalecké letectvo)|Kombinovaná letka
Vzdušné sily Armády Českej republiky
Kategória:Vzdušné sily Slovenskej republiky| 
Kategória:Vojenské letectvo podľa štátu|Slovensko
