"['jakovlev', 'jak-40']",
"['súbor', 'slovak', 'air', 'force', 'yakovlev', 'yak-40', 'lebeda-1', 'jpg']",['150px']
"['sovietsky', 'zväz']",['zssr']
"['tupolev', 'tu-154']",
Link,Alt_Text
"['súbor', '122ai', 'slovak', 'republic', 'tupolev', '154m', 'om-byr', '@', 'zrh,28', '01', '2001', 'flickr', 'aero', 'icarus', 'jpg']",['150px']
"['sovietsky', 'zväz']",['zssr']
"['cvičný', 'lietadlo']","['cvičný', 'lietadlo']"
"['aero', 'l-29', 'delfín']",
"['súbor', 'l-29', 'sovakia', '22211294871', 'jpg']",['150px']
['česko-slovensko'],
['helikoptéra'],['vrtuľník']
"['mil', 'mi-2']",
"['súbor', 'mi-2', 'slovakia', '22589902916', 'jpg']",['150px']
"['sovietsky', 'zväz']",['zssr']
['poľsko'],
"['mil', 'mi-8']",
"['súbor', 'slovak', 'air', 'force', 'mil', 'mi-8p', 'potters-1', 'jpg']",['150px']
"['sovietsky', 'zväz']",['zssr']
"['mil', 'mi-24']",
Link,Alt_Text
"['súbor', 'slovak', 'air', 'force', 'mil', 'mi-24v', 'kral-1', 'jpg']",['150px']
"['sovietsky', 'zväz']",['zssr']
['slovensko'],"['slovenský', 'republika']"
"['protilietadlový', 'raketový', 'brigáda', 'nitra']","['protilietadlový', 'raketový', 'brigáda', 'obranca', 'tobruku']"
['nitra'],['nitre']
['s-300'],
"['súbor', 'slovak', 's-300', 'jpg']",['150px']
"['sovietsky', 'zväz']",['zssr']
['rusko'],
"['2k12', 'kub']",
"['súbor', 'slovak', '2k12m2', 'kub-m2', 'at', 'siaf', '2017', 'jpg']",['150px']
"['sovietsky', 'zväz']",['zssr']
"['9k38', 'igla']",
"['súbor', 'slovakian', 'manpads', 'during', 'a', 'training', 'exercise', '2012', 'nitra', 'slovakia', '-02', 'jpg']",['150px']
"['sovietsky', 'zväz']",['zssr']
Link,Alt_Text
['radar'],['rádiolokátor']
"['st-68', 'radar']",['st-68']
"['súbor', '3d', 'radiolokátor', 'st-68u', 'cz', 'jpg']",['150px']
"['sovietsky', 'zväz']",['zssr']
"['9k35', 'strela-10']",['strela-10m3']
"['brigáda', 'riadenie', 'vzdušný', 'operácia', 'zvolen']","['brigáda', 'riadenie', 'vzdušný', 'operácia']"
['zvolen'],
"['pasívny', 'rádiolokátor', 'věra']",['věra']
"['nato', 'integrated', 'air', 'missile', 'defence', 'system']",['natinamds']
"['p-37', 'radar']",['p-37msk']
"['st-68', 'radar']",['st-68msk']
